"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Siilinjärvi Kuopio airport","2003","11","12","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","11","13","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","11","14","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","11","15","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","11","16","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","11","17","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","11","18","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","11","19","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","11","20","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","11","21","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2003","11","22","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","11","23","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","11","24","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","11","25","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","11","26","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","11","27","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","11","28","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","11","29","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","11","30","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","12","1","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","12","2","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","12","3","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","12","4","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","12","5","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","12","6","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2003","12","7","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2003","12","8","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2003","12","9","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2003","12","10","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2003","12","11","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","12","12","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","12","13","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","12","14","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2003","12","15","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","12","16","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","12","17","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2003","12","18","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2003","12","19","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2003","12","20","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","12","21","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2003","12","22","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2003","12","23","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2003","12","24","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2003","12","25","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","12","26","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2003","12","27","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","12","28","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","12","29","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2003","12","30","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2003","12","31","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","1","1","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","1","2","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","1","3","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","1","4","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","1","5","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","1","6","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","1","7","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","1","8","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","1","9","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","1","10","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","1","11","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","1","12","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","1","13","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","1","14","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","1","15","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","1","16","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","1","17","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2004","1","18","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","1","19","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","1","20","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","1","21","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","1","22","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","1","23","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","1","24","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","1","25","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","1","26","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","1","27","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","1","28","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2004","1","29","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","1","30","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","1","31","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","2","1","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2004","2","2","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","2","3","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","2","4","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","2","5","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","2","6","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","2","7","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","2","8","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","2","9","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","2","10","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","2","11","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","2","12","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","2","13","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","2","14","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","2","15","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","2","16","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","2","17","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","2","18","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","2","19","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","2","20","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","2","21","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","2","22","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","2","23","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","2","24","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","2","25","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","2","26","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","2","27","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","2","28","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","2","29","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","3","1","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","3","2","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","3","3","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","3","4","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","3","5","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","3","6","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","3","7","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","3","8","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","3","9","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","3","10","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","3","11","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","3","12","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2004","3","13","00:00","Cloudiness cannot be determined (9/8)"
"Siilinjärvi Kuopio airport","2004","3","14","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","3","15","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","3","16","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","3","17","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","3","18","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","3","19","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","3","20","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","3","21","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","3","22","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","3","23","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","3","24","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","3","25","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","3","26","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","3","27","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","3","28","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","3","29","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","3","30","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","3","31","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","4","1","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","2","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","3","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","4","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","5","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","6","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","7","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","8","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","9","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","10","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","11","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","4","12","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","4","13","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","4","14","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","15","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","4","16","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","17","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","4","18","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","19","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","4","20","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","21","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","4","22","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","23","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","24","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","25","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","26","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","27","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","4","28","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","4","29","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","4","30","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","5","1","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","5","2","00:00","-"
"Siilinjärvi Kuopio airport","2004","5","3","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","5","4","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","5","5","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","5","6","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","5","7","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","5","8","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","5","9","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","5","10","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","5","11","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","5","12","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","5","13","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","5","14","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","5","15","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","5","16","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","5","17","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","5","18","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","5","19","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","5","20","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","5","21","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","5","22","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","5","23","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","5","24","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","5","25","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","5","26","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","5","27","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","5","28","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","5","29","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","5","30","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","5","31","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","6","1","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","6","2","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","6","3","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","6","4","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","6","5","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","6","6","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","6","7","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","6","8","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","6","9","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","6","10","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","6","11","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","6","12","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","6","13","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","6","14","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","6","15","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","6","16","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","6","17","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","6","18","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","6","19","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","6","20","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","6","21","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","6","22","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","6","23","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","6","24","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","6","25","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","6","26","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","6","27","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","6","28","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","6","29","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","6","30","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","7","1","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","7","2","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","7","3","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","4","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","7","5","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","6","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","7","7","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","7","8","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","7","9","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","10","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","7","11","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","12","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","7","13","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","14","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","15","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","16","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","17","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","18","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","7","19","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","20","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","21","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","7","22","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","23","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","24","00:00","-"
"Siilinjärvi Kuopio airport","2004","7","25","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","7","26","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","7","27","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","7","28","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","7","29","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","7","30","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","7","31","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","8","1","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","8","2","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","8","3","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","8","4","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","8","5","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","8","6","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","8","7","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","8","8","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","8","9","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","8","10","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","8","11","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","8","12","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","8","13","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","8","14","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","8","15","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","8","16","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","8","17","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","8","18","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","8","19","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","8","20","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","8","21","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","8","22","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","8","23","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","8","24","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","8","25","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","8","26","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","8","27","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","8","28","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","8","29","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","8","30","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","8","31","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","9","1","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","9","2","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","9","3","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","9","4","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","9","5","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","9","6","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","9","7","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","9","8","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","9","9","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","9","10","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","9","11","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","9","12","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","9","13","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","9","14","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","9","15","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","9","16","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","9","17","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","9","18","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","9","19","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","9","20","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","9","21","00:00","Partly cloudy (5/8)"
"Siilinjärvi Kuopio airport","2004","9","22","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","9","23","00:00","-"
"Siilinjärvi Kuopio airport","2004","9","24","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","9","25","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","9","26","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","9","27","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","9","28","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","9","29","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","9","30","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","10","1","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","10","2","00:00","Clear (1/8)"
"Siilinjärvi Kuopio airport","2004","10","3","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","10","4","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","10","5","00:00","Mostly clear (3/8)"
"Siilinjärvi Kuopio airport","2004","10","6","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","10","7","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","10","8","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","10","9","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","10","10","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","10","11","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","10","12","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","10","13","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","10","14","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","10","15","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","10","16","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","10","17","00:00","Clear (0/8)"
"Siilinjärvi Kuopio airport","2004","10","18","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","10","19","00:00","Cloudy (8/8)"
"Siilinjärvi Kuopio airport","2004","10","20","00:00","Mostly cloudy (7/8)"
"Siilinjärvi Kuopio airport","2004","10","21","00:00","Mostly cloudy (7/8)"
