"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]"
"Pudasjärvi airfield","2003","10","26","03:00","-7.3"
"Pudasjärvi airfield","2003","10","27","02:00","-4.4"
"Pudasjärvi airfield","2003","10","28","02:00","4.2"
"Pudasjärvi airfield","2003","10","29","02:00","2.3"
"Pudasjärvi airfield","2003","10","30","02:00","0.3"
"Pudasjärvi airfield","2003","10","31","02:00","1"
"Pudasjärvi airfield","2003","11","1","02:00","1.2"
"Pudasjärvi airfield","2003","11","2","02:00","1.5"
"Pudasjärvi airfield","2003","11","3","02:00","2.5"
"Pudasjärvi airfield","2003","11","4","02:00","4"
"Pudasjärvi airfield","2003","11","5","02:00","3.5"
"Pudasjärvi airfield","2003","11","6","02:00","4.1"
"Pudasjärvi airfield","2003","11","7","02:00","5.2"
"Pudasjärvi airfield","2003","11","8","02:00","-0.8"
"Pudasjärvi airfield","2003","11","9","02:00","-2.6"
"Pudasjärvi airfield","2003","11","10","02:00","-0.3"
"Pudasjärvi airfield","2003","11","11","02:00","0.6"
"Pudasjärvi airfield","2003","11","12","02:00","1"
"Pudasjärvi airfield","2003","11","13","02:00","0.8"
"Pudasjärvi airfield","2003","11","14","02:00","-0.4"
"Pudasjärvi airfield","2003","11","15","02:00","-1.8"
"Pudasjärvi airfield","2003","11","16","02:00","0.3"
"Pudasjärvi airfield","2003","11","17","02:00","-0.1"
"Pudasjärvi airfield","2003","11","18","02:00","-1.5"
"Pudasjärvi airfield","2003","11","19","02:00","-3.3"
"Pudasjärvi airfield","2003","11","20","02:00","-4.9"
"Pudasjärvi airfield","2003","11","21","02:00","-6.5"
"Pudasjärvi airfield","2003","11","22","02:00","-8.7"
"Pudasjärvi airfield","2003","11","23","02:00","-12.5"
"Pudasjärvi airfield","2003","11","24","02:00","-10.1"
"Pudasjärvi airfield","2003","11","25","02:00","-10.7"
"Pudasjärvi airfield","2003","11","26","02:00","-13.5"
"Pudasjärvi airfield","2003","11","27","02:00","-4.8"
"Pudasjärvi airfield","2003","11","28","02:00","0.3"
"Pudasjärvi airfield","2003","11","29","02:00","1.3"
"Pudasjärvi airfield","2003","11","30","02:00","0.4"
"Pudasjärvi airfield","2003","12","1","02:00","2.1"
"Pudasjärvi airfield","2003","12","2","02:00","1.6"
"Pudasjärvi airfield","2003","12","3","02:00","-0.5"
"Pudasjärvi airfield","2003","12","4","02:00","2"
"Pudasjärvi airfield","2003","12","5","02:00","-2.7"
"Pudasjärvi airfield","2003","12","6","02:00","-6.9"
"Pudasjärvi airfield","2003","12","7","02:00","-2.8"
"Pudasjärvi airfield","2003","12","8","02:00","-2.3"
"Pudasjärvi airfield","2003","12","9","02:00","-10.4"
"Pudasjärvi airfield","2003","12","10","02:00","-1.2"
"Pudasjärvi airfield","2003","12","11","02:00","1.4"
"Pudasjärvi airfield","2003","12","12","02:00","-2.1"
"Pudasjärvi airfield","2003","12","13","02:00","-7.5"
"Pudasjärvi airfield","2003","12","14","02:00","-5.9"
"Pudasjärvi airfield","2003","12","15","02:00","-8.2"
"Pudasjärvi airfield","2003","12","16","02:00","-14.3"
"Pudasjärvi airfield","2003","12","17","02:00","-16.1"
"Pudasjärvi airfield","2003","12","18","02:00","-16.2"
"Pudasjärvi airfield","2003","12","19","02:00","-1.8"
"Pudasjärvi airfield","2003","12","20","02:00","-15.7"
"Pudasjärvi airfield","2003","12","21","02:00","-26.1"
"Pudasjärvi airfield","2003","12","22","02:00","-28.5"
"Pudasjärvi airfield","2003","12","23","02:00","-27.4"
"Pudasjärvi airfield","2003","12","24","02:00","-10.2"
"Pudasjärvi airfield","2003","12","25","02:00","0.4"
"Pudasjärvi airfield","2003","12","26","02:00","-2"
"Pudasjärvi airfield","2003","12","27","02:00","-5.6"
"Pudasjärvi airfield","2003","12","28","02:00","-0.9"
"Pudasjärvi airfield","2003","12","29","02:00","-7.9"
"Pudasjärvi airfield","2003","12","30","02:00","-5.7"
"Pudasjärvi airfield","2003","12","31","02:00","-16"
"Pudasjärvi airfield","2004","1","1","02:00","-26.4"
"Pudasjärvi airfield","2004","1","2","02:00","-11.3"
"Pudasjärvi airfield","2004","1","3","02:00","-10.9"
"Pudasjärvi airfield","2004","1","4","02:00","-12"
"Pudasjärvi airfield","2004","1","5","02:00","-13.5"
"Pudasjärvi airfield","2004","1","6","02:00","-16.5"
"Pudasjärvi airfield","2004","1","7","02:00","-7.4"
"Pudasjärvi airfield","2004","1","8","02:00","-3.1"
"Pudasjärvi airfield","2004","1","9","02:00","-2.2"
"Pudasjärvi airfield","2004","1","10","02:00","-2.3"
"Pudasjärvi airfield","2004","1","11","02:00","-7.7"
"Pudasjärvi airfield","2004","1","12","02:00","-10.5"
"Pudasjärvi airfield","2004","1","13","02:00","-6.6"
"Pudasjärvi airfield","2004","1","14","02:00","-4.9"
"Pudasjärvi airfield","2004","1","15","02:00","-9"
"Pudasjärvi airfield","2004","1","16","02:00","-10.7"
"Pudasjärvi airfield","2004","1","17","02:00","-14"
"Pudasjärvi airfield","2004","1","18","02:00","-14.8"
"Pudasjärvi airfield","2004","1","19","02:00","-16.2"
"Pudasjärvi airfield","2004","1","20","02:00","-15.3"
"Pudasjärvi airfield","2004","1","21","02:00","-16.6"
"Pudasjärvi airfield","2004","1","22","02:00","-17.8"
"Pudasjärvi airfield","2004","1","23","02:00","-8.1"
"Pudasjärvi airfield","2004","1","24","02:00","-1.4"
"Pudasjärvi airfield","2004","1","25","02:00","-4.1"
"Pudasjärvi airfield","2004","1","26","02:00","-10.8"
"Pudasjärvi airfield","2004","1","27","02:00","-6.4"
"Pudasjärvi airfield","2004","1","28","02:00","-7.8"
"Pudasjärvi airfield","2004","1","29","02:00","-9.1"
"Pudasjärvi airfield","2004","1","30","02:00","-8.3"
"Pudasjärvi airfield","2004","1","31","02:00","-8.6"
"Pudasjärvi airfield","2004","2","1","02:00","-6.1"
"Pudasjärvi airfield","2004","2","2","02:00","-10.5"
"Pudasjärvi airfield","2004","2","3","02:00","-4.2"
"Pudasjärvi airfield","2004","2","4","02:00","-2.7"
"Pudasjärvi airfield","2004","2","5","02:00","-8.4"
"Pudasjärvi airfield","2004","2","6","02:00","-12.1"
"Pudasjärvi airfield","2004","2","7","02:00","-15.4"
"Pudasjärvi airfield","2004","2","8","02:00","-20.5"
"Pudasjärvi airfield","2004","2","9","02:00","-18.2"
"Pudasjärvi airfield","2004","2","10","02:00","-20.5"
"Pudasjärvi airfield","2004","2","11","02:00","-27.8"
"Pudasjärvi airfield","2004","2","12","02:00","-15.3"
"Pudasjärvi airfield","2004","2","13","02:00","-5.3"
"Pudasjärvi airfield","2004","2","14","02:00","-5.6"
"Pudasjärvi airfield","2004","2","15","02:00","-5"
"Pudasjärvi airfield","2004","2","16","02:00","-11"
"Pudasjärvi airfield","2004","2","17","02:00","-11.8"
"Pudasjärvi airfield","2004","2","18","02:00","-16.9"
"Pudasjärvi airfield","2004","2","19","02:00","-7.9"
"Pudasjärvi airfield","2004","2","20","02:00","1.6"
"Pudasjärvi airfield","2004","2","21","02:00","0.9"
"Pudasjärvi airfield","2004","2","22","02:00","-5.1"
"Pudasjärvi airfield","2004","2","23","02:00","-18.1"
"Pudasjärvi airfield","2004","2","24","02:00","-15.4"
"Pudasjärvi airfield","2004","2","25","02:00","-9.2"
"Pudasjärvi airfield","2004","2","26","02:00","-6.5"
"Pudasjärvi airfield","2004","2","27","02:00","-6.2"
"Pudasjärvi airfield","2004","2","28","02:00","-12.8"
"Pudasjärvi airfield","2004","2","29","02:00","-15.5"
"Pudasjärvi airfield","2004","3","1","02:00","-7.8"
"Pudasjärvi airfield","2004","3","2","02:00","-15.8"
"Pudasjärvi airfield","2004","3","3","02:00","-11.3"
"Pudasjärvi airfield","2004","3","4","02:00","-12.4"
"Pudasjärvi airfield","2004","3","5","02:00","-11.6"
"Pudasjärvi airfield","2004","3","6","02:00","-11.3"
"Pudasjärvi airfield","2004","3","7","02:00","-6.3"
"Pudasjärvi airfield","2004","3","8","02:00","-12.3"
"Pudasjärvi airfield","2004","3","9","02:00","-9.4"
"Pudasjärvi airfield","2004","3","10","02:00","-7.3"
"Pudasjärvi airfield","2004","3","11","02:00","-5.7"
"Pudasjärvi airfield","2004","3","12","02:00","-3.8"
"Pudasjärvi airfield","2004","3","13","02:00","-7.9"
"Pudasjärvi airfield","2004","3","14","02:00","-3.5"
"Pudasjärvi airfield","2004","3","15","02:00","0.8"
"Pudasjärvi airfield","2004","3","16","02:00","0.7"
"Pudasjärvi airfield","2004","3","17","02:00","0"
"Pudasjärvi airfield","2004","3","18","02:00","-1"
"Pudasjärvi airfield","2004","3","19","02:00","-0.6"
"Pudasjärvi airfield","2004","3","20","02:00","0.9"
"Pudasjärvi airfield","2004","3","21","02:00","-0.7"
"Pudasjärvi airfield","2004","3","22","02:00","-6.2"
"Pudasjärvi airfield","2004","3","23","02:00","-5.9"
"Pudasjärvi airfield","2004","3","24","02:00","-5.3"
"Pudasjärvi airfield","2004","3","25","02:00","-6.3"
"Pudasjärvi airfield","2004","3","26","02:00","-6.4"
"Pudasjärvi airfield","2004","3","27","02:00","-3.6"
"Pudasjärvi airfield","2004","3","28","02:00","-1.3"
"Pudasjärvi airfield","2004","3","29","03:00","-4.4"
"Pudasjärvi airfield","2004","3","30","03:00","-1.5"
"Pudasjärvi airfield","2004","3","31","03:00","-4.3"
"Pudasjärvi airfield","2004","4","1","03:00","-11.3"
"Pudasjärvi airfield","2004","4","2","03:00","-7.4"
"Pudasjärvi airfield","2004","4","3","03:00","-1.5"
"Pudasjärvi airfield","2004","4","4","03:00","-3.2"
"Pudasjärvi airfield","2004","4","5","03:00","-1.5"
"Pudasjärvi airfield","2004","4","6","03:00","1.9"
"Pudasjärvi airfield","2004","4","7","03:00","2.3"
"Pudasjärvi airfield","2004","4","8","03:00","3.5"
"Pudasjärvi airfield","2004","4","9","03:00","3.6"
"Pudasjärvi airfield","2004","4","10","03:00","-0.1"
"Pudasjärvi airfield","2004","4","11","03:00","0"
"Pudasjärvi airfield","2004","4","12","03:00","-1"
"Pudasjärvi airfield","2004","4","13","03:00","-0.3"
"Pudasjärvi airfield","2004","4","14","03:00","1.2"
"Pudasjärvi airfield","2004","4","15","03:00","2.1"
"Pudasjärvi airfield","2004","4","16","03:00","3.8"
"Pudasjärvi airfield","2004","4","17","03:00","6.5"
"Pudasjärvi airfield","2004","4","18","03:00","6.5"
"Pudasjärvi airfield","2004","4","19","03:00","6"
"Pudasjärvi airfield","2004","4","20","03:00","1"
"Pudasjärvi airfield","2004","4","21","03:00","-1.1"
"Pudasjärvi airfield","2004","4","22","03:00","-1.6"
"Pudasjärvi airfield","2004","4","23","03:00","-0.6"
"Pudasjärvi airfield","2004","4","24","03:00","0.2"
"Pudasjärvi airfield","2004","4","25","03:00","2.8"
"Pudasjärvi airfield","2004","4","26","03:00","5.3"
"Pudasjärvi airfield","2004","4","27","03:00","6.7"
"Pudasjärvi airfield","2004","4","28","03:00","5.8"
"Pudasjärvi airfield","2004","4","29","03:00","6.2"
"Pudasjärvi airfield","2004","4","30","03:00","6.3"
"Pudasjärvi airfield","2004","5","1","03:00","5.8"
"Pudasjärvi airfield","2004","5","2","03:00","6.8"
"Pudasjärvi airfield","2004","5","3","03:00","13.1"
"Pudasjärvi airfield","2004","5","4","03:00","13.5"
"Pudasjärvi airfield","2004","5","5","03:00","13.5"
"Pudasjärvi airfield","2004","5","6","03:00","15.3"
"Pudasjärvi airfield","2004","5","7","03:00","15.7"
"Pudasjärvi airfield","2004","5","8","03:00","16.4"
"Pudasjärvi airfield","2004","5","9","03:00","8.3"
"Pudasjärvi airfield","2004","5","10","03:00","0.2"
"Pudasjärvi airfield","2004","5","11","03:00","-0.8"
"Pudasjärvi airfield","2004","5","12","03:00","1"
"Pudasjärvi airfield","2004","5","13","03:00","1.8"
"Pudasjärvi airfield","2004","5","14","03:00","3.8"
"Pudasjärvi airfield","2004","5","15","03:00","2.5"
"Pudasjärvi airfield","2004","5","16","03:00","1.5"
"Pudasjärvi airfield","2004","5","17","03:00","5.4"
"Pudasjärvi airfield","2004","5","18","03:00","6.7"
"Pudasjärvi airfield","2004","5","19","03:00","8"
"Pudasjärvi airfield","2004","5","20","03:00","6.6"
"Pudasjärvi airfield","2004","5","21","03:00","8.6"
"Pudasjärvi airfield","2004","5","22","03:00","8.1"
"Pudasjärvi airfield","2004","5","23","03:00","6.2"
"Pudasjärvi airfield","2004","5","24","03:00","5.9"
"Pudasjärvi airfield","2004","5","25","03:00","5.4"
"Pudasjärvi airfield","2004","5","26","03:00","7.8"
"Pudasjärvi airfield","2004","5","27","03:00","9"
"Pudasjärvi airfield","2004","5","28","03:00","8.6"
"Pudasjärvi airfield","2004","5","29","03:00","7.7"
"Pudasjärvi airfield","2004","5","30","03:00","7.1"
"Pudasjärvi airfield","2004","5","31","03:00","8.9"
"Pudasjärvi airfield","2004","6","1","03:00","9.1"
"Pudasjärvi airfield","2004","6","2","03:00","9"
"Pudasjärvi airfield","2004","6","3","03:00","11.9"
"Pudasjärvi airfield","2004","6","4","03:00","11.5"
"Pudasjärvi airfield","2004","6","5","03:00","11.4"
"Pudasjärvi airfield","2004","6","6","03:00","8.1"
"Pudasjärvi airfield","2004","6","7","03:00","5.7"
"Pudasjärvi airfield","2004","6","8","03:00","7.2"
"Pudasjärvi airfield","2004","6","9","03:00","8"
"Pudasjärvi airfield","2004","6","10","03:00","11"
"Pudasjärvi airfield","2004","6","11","03:00","12.2"
"Pudasjärvi airfield","2004","6","12","03:00","13.1"
"Pudasjärvi airfield","2004","6","13","03:00","13.8"
"Pudasjärvi airfield","2004","6","14","03:00","9.3"
"Pudasjärvi airfield","2004","6","15","03:00","9.5"
"Pudasjärvi airfield","2004","6","16","03:00","8.9"
"Pudasjärvi airfield","2004","6","17","03:00","7.3"
"Pudasjärvi airfield","2004","6","18","03:00","10.7"
"Pudasjärvi airfield","2004","6","19","03:00","12"
"Pudasjärvi airfield","2004","6","20","03:00","14.3"
"Pudasjärvi airfield","2004","6","21","03:00","14.4"
"Pudasjärvi airfield","2004","6","22","03:00","14.9"
"Pudasjärvi airfield","2004","6","23","03:00","14.8"
"Pudasjärvi airfield","2004","6","24","03:00","17.1"
"Pudasjärvi airfield","2004","6","25","03:00","15.2"
"Pudasjärvi airfield","2004","6","26","03:00","16.3"
"Pudasjärvi airfield","2004","6","27","03:00","18.1"
"Pudasjärvi airfield","2004","6","28","03:00","19.9"
"Pudasjärvi airfield","2004","6","29","03:00","15.9"
"Pudasjärvi airfield","2004","6","30","03:00","18"
"Pudasjärvi airfield","2004","7","1","03:00","19.4"
"Pudasjärvi airfield","2004","7","2","03:00","18.6"
"Pudasjärvi airfield","2004","7","3","03:00","17.3"
"Pudasjärvi airfield","2004","7","4","03:00","16.7"
"Pudasjärvi airfield","2004","7","5","03:00","17.5"
"Pudasjärvi airfield","2004","7","6","03:00","16.7"
"Pudasjärvi airfield","2004","7","7","03:00","15.9"
"Pudasjärvi airfield","2004","7","8","03:00","15.3"
"Pudasjärvi airfield","2004","7","9","03:00","14.7"
"Pudasjärvi airfield","2004","7","10","03:00","15.5"
"Pudasjärvi airfield","2004","7","11","03:00","16.8"
"Pudasjärvi airfield","2004","7","12","03:00","15.9"
"Pudasjärvi airfield","2004","7","13","03:00","16.6"
"Pudasjärvi airfield","2004","7","14","03:00","15.1"
"Pudasjärvi airfield","2004","7","15","03:00","15.2"
"Pudasjärvi airfield","2004","7","16","03:00","13.4"
"Pudasjärvi airfield","2004","7","17","03:00","16.2"
"Pudasjärvi airfield","2004","7","18","03:00","16.5"
"Pudasjärvi airfield","2004","7","19","03:00","19"
"Pudasjärvi airfield","2004","7","20","03:00","18.5"
"Pudasjärvi airfield","2004","7","21","03:00","15.4"
"Pudasjärvi airfield","2004","7","22","03:00","14.4"
"Pudasjärvi airfield","2004","7","23","03:00","15.9"
"Pudasjärvi airfield","2004","7","24","03:00","17.6"
"Pudasjärvi airfield","2004","7","25","03:00","19.7"
"Pudasjärvi airfield","2004","7","26","03:00","19.1"
"Pudasjärvi airfield","2004","7","27","03:00","18"
"Pudasjärvi airfield","2004","7","28","03:00","15.5"
"Pudasjärvi airfield","2004","7","29","03:00","16.4"
"Pudasjärvi airfield","2004","7","30","03:00","17.6"
"Pudasjärvi airfield","2004","7","31","03:00","17.4"
"Pudasjärvi airfield","2004","8","1","03:00","18.5"
"Pudasjärvi airfield","2004","8","2","03:00","17.5"
"Pudasjärvi airfield","2004","8","3","03:00","18.4"
"Pudasjärvi airfield","2004","8","4","03:00","19.5"
"Pudasjärvi airfield","2004","8","5","03:00","19.2"
"Pudasjärvi airfield","2004","8","6","03:00","19.6"
"Pudasjärvi airfield","2004","8","7","03:00","20.8"
"Pudasjärvi airfield","2004","8","8","03:00","17.8"
"Pudasjärvi airfield","2004","8","9","03:00","16.8"
"Pudasjärvi airfield","2004","8","10","03:00","16.3"
"Pudasjärvi airfield","2004","8","11","03:00","13.3"
"Pudasjärvi airfield","2004","8","12","03:00","10.9"
"Pudasjärvi airfield","2004","8","13","03:00","8.8"
"Pudasjärvi airfield","2004","8","14","03:00","7.7"
"Pudasjärvi airfield","2004","8","15","03:00","8.7"
"Pudasjärvi airfield","2004","8","16","03:00","8.5"
"Pudasjärvi airfield","2004","8","17","03:00","8.7"
"Pudasjärvi airfield","2004","8","18","03:00","10.7"
"Pudasjärvi airfield","2004","8","19","03:00","11.7"
"Pudasjärvi airfield","2004","8","20","03:00","10.3"
"Pudasjärvi airfield","2004","8","21","03:00","15"
"Pudasjärvi airfield","2004","8","22","03:00","13.9"
"Pudasjärvi airfield","2004","8","23","03:00","11.9"
"Pudasjärvi airfield","2004","8","24","03:00","8.1"
"Pudasjärvi airfield","2004","8","25","03:00","9.1"
"Pudasjärvi airfield","2004","8","26","03:00","7.2"
"Pudasjärvi airfield","2004","8","27","03:00","11.2"
"Pudasjärvi airfield","2004","8","28","03:00","13.1"
"Pudasjärvi airfield","2004","8","29","03:00","13.6"
"Pudasjärvi airfield","2004","8","30","03:00","13.8"
"Pudasjärvi airfield","2004","8","31","03:00","14"
"Pudasjärvi airfield","2004","9","1","03:00","18.4"
"Pudasjärvi airfield","2004","9","2","03:00","16"
"Pudasjärvi airfield","2004","9","3","03:00","14"
"Pudasjärvi airfield","2004","9","4","03:00","13.3"
"Pudasjärvi airfield","2004","9","5","03:00","16"
"Pudasjärvi airfield","2004","9","6","03:00","12.1"
"Pudasjärvi airfield","2004","9","7","03:00","8.9"
"Pudasjärvi airfield","2004","9","8","03:00","5"
"Pudasjärvi airfield","2004","9","9","03:00","5.9"
"Pudasjärvi airfield","2004","9","10","03:00","11.6"
"Pudasjärvi airfield","2004","9","11","03:00","8.5"
"Pudasjärvi airfield","2004","9","12","03:00","8.3"
"Pudasjärvi airfield","2004","9","13","03:00","7.6"
"Pudasjärvi airfield","2004","9","14","03:00","7.8"
"Pudasjärvi airfield","2004","9","15","03:00","6.8"
"Pudasjärvi airfield","2004","9","16","03:00","6.1"
"Pudasjärvi airfield","2004","9","17","03:00","4.7"
"Pudasjärvi airfield","2004","9","18","03:00","5.4"
"Pudasjärvi airfield","2004","9","19","03:00","8.4"
"Pudasjärvi airfield","2004","9","20","03:00","10.8"
"Pudasjärvi airfield","2004","9","21","03:00","10.5"
"Pudasjärvi airfield","2004","9","22","03:00","11.2"
"Pudasjärvi airfield","2004","9","23","03:00","9.9"
"Pudasjärvi airfield","2004","9","24","03:00","8.9"
"Pudasjärvi airfield","2004","9","25","03:00","10.1"
"Pudasjärvi airfield","2004","9","26","03:00","7.8"
"Pudasjärvi airfield","2004","9","27","03:00","9.1"
"Pudasjärvi airfield","2004","9","28","03:00","10"
"Pudasjärvi airfield","2004","9","29","03:00","8.2"
"Pudasjärvi airfield","2004","9","30","03:00","5.3"
"Pudasjärvi airfield","2004","10","1","03:00","4.8"
"Pudasjärvi airfield","2004","10","2","03:00","1.5"
"Pudasjärvi airfield","2004","10","3","03:00","4.1"
"Pudasjärvi airfield","2004","10","4","03:00","6.4"
"Pudasjärvi airfield","2004","10","5","03:00","7.8"
"Pudasjärvi airfield","2004","10","6","03:00","6.8"
